分类 (Category),中文描述 (Description),提示词 (Prompt)
魔导师分享,城市夜景的猫先生,"{{{furry male}}}, {{{cat boy}}},white shirt, blue eyes, 27 years old, single eyelid, standing, necktie, black jacket, cityscape"
魔导师分享,精灵妹,"sacred,holy,{best quality}, {{masterpiece}}, {highres}, original,blonde hair, 1girl,extremely detailed wallpaper,long hair, expressionless,{photorealistic}, {painting}, {realistic}, {oil painting},lying on back,elf,green eyes, glowing eyes,  circlet, necklace"
魔导师分享,白毛老婆,"ponytail,forest,from side,spread fingers,red eyeswrite hairsgirlsimleopen legs,school uniform,"
魔导师分享,成年军服男子,"masterpiece, best quality, illustration, beautifully detailed eyes, beautifully detailed sky,cinematic lighting, dramatic angles,blonde hair,blue eyes,handsome,Middle-aged men, soldier,short hair, World War II,cinematic angle ,dramatic angle,solo,dutch angle,motion blur,beautifully detailed forest,upper body,solo focus"
魔导师分享,盗版尼采,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},photo (medium) ,solo,serious, suit,  s-2514031923"
魔导师分享,"娘化小秦（指mr.quin,by盐三）","{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},cinematic lighting, volume lighting, bloom effect, light particles,solo focus,straight-on,full body,simple background,game cg,solo,petite,young girl,short_hair,cat_ears,white hair,red eyes,looking at viewer,light smile,standing,arms behind back,slim legs,black thighhighs,uwabaki,flat_chest,white shirt,red dress,red scarf,white hair"
魔导师分享,白毛人偶少女+机甲,"undefined,very_long_hair,white_hair,red_eyes,sitting on the ground,mask,{{masterpiece}},best quality,extremely detailed CG unity 8k wallpaper,{extremely detailed cg},hyper machine,Transformation by mechanization,Mechanicalweapon,Dolls,  meticulous mechanisms"
魔导师分享,赛博机器粉毛耳机,"{masterpiece}, {best quality}, {{oil painting}} , {{wallpaper 8k CG}}, {realistic}, Concept Art, {{cyberpunk}}, vary blue and red and orange and pink hard light, intricate light, portrait of a robotic girl with pink hair and headphones in a city at night with neon lights and buildings in the background, in the Sci-fi City at night, white and intricate clothes, dynamic hair, haircut, dynamic fuzziness, beautiful and aesthetic, intricate light, manga and anime, by Hidari Jingorō"
魔导师分享,绿毛双马尾死库水萝莉,"looking at viewer,(from side:1.2),( head tilt:1.65),(leaning_back:1.25),upper body,depth of field,beach background,beach,masterpiece,highres,extremely detailed CG unity 8k wallpaper,doujinshi doujin cover,graphite (medium) ,loli,twintails,green_hair/green_eyes,looking at viewer,standing,own hands clasped,m legs,blush,aquagradient eyes,white_thighhighs,school swimsuit,no shoes,hair ribbon,flat_chest"
魔导师分享,有点赛博的城市背景,"{detailed 8k wallpaper},{In a dilapidated alley},{{{cyberpunk,faraway Sci-fi city, kowloon}}},{{detailed background}},{{intricate detail}},{finely detailed},{highres},{Red light,Blue light,Purple light}"
魔导师分享,赛博女孩(CFG建议14) by:OYwins,"{detailed 8k wallpaper},{In a dilapidated alley},{{{{{girl focus,A girl,multicolored hoodie,mouth mask,ahoge,crystal pink_hair,glowing eyes,blue_eyes}}}}},{{{cyberpunk,Sci-fi city, kowloon}}},{{detailed background}},{{intricate detail}},{finely detailed},{highres},{Red light,Blue light,Purple light},{{behind-the-head headphones}}"
魔导师分享,花海的婚礼,"{best quality}, {{masterpiece}}, {highres},extremely detailed 8K wallpaper, 1girl,game cg,maiden, cinematic angle,delicate skin, blush,aquagradient eyes, {detailed eyes},{gradient  blonde hair},{gradient blue eyes}, Cherry blossoms,flying petals,mountain,flowers meadows, detailed background, outdoors, {delicate wedding dress}, neck ribbon, bridal gauntlets, bridal veil, hair ornament, hair flower, bouquet，wedding band，"
魔导师分享,少女与龙,"{an extremely delicate and beautiful girl}, cg 8k wallpaper, masterpiece, cold expression, handsome, full body, looking at viewer, insanity, white hair, messy long hair, red eyes, beautiful detailed eyes {{a black cross hairpin}}, handsome，long legs,Hair glows,dramatic angle，full—body shot,dragon wing,high contrast"
魔导师分享,花海的婚礼,"{best quality}, {{masterpiece}}, {highres},extremely detailed 8K wallpaper, 1girl,game cg,maiden, cinematic angle,delicate skin, blush,aquagradient eyes, {detailed eyes},{gradient  blonde hair},{gradient blue eyes}, Cherry blossoms,flying petals,mountain,flowers meadows, detailed background, outdoors, {delicate wedding dress}, neck ribbon, bridal gauntlets, bridal veil, hair ornament, hair flower, bouquet，wedding band，"
魔导师分享,花里胡哨雍容华贵的神秘女祭司,"masterpiece,best quality,highly detailed,{a Exquisite girl},Mysterious,{photorealistic}, {Aristocrat}, colorful,{Tan Skin},feathers,Fantasy,Gorgeous,Headwear,Incantation,folkloric,Tassels,Light Veil,{war paint},plume,{slit pupils},{acrylic paint (medium)}"
魔导师分享,海边双马尾小美女,"masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper, in hawaii, artbook, girl, silver hair, twintails, very long hair, lipstick, looking at viewer, hair_pull,  bikini top only , side - tie bikini bottom, high heels, stockings, "
魔导师分享,赛博朋克风少女,"{masterpiece}, {best quality},{detail face,focus on face} {{oil painting}}, {{wallpaper 8k CG]},hair ornament, {realistic}, Concept Art, {{cyberpunk}},vary blue and red and pink and orange hard light, intricate light, portrait of a beautiful girl ,in the Sci-fi City at night,black skirt dress, flower pattern in dress,black gown, dynamic hair, haircut,dynamic fuzziness, beautiful and aesthetic, intricate light,manga and anime,portrait,1 girl, "
魔导师分享,无题,"masterpiece, best quality,highly detailed,foot focus,full body,petite,semen，side twinails,facing viewer,clitoris，evil smileevil grin,naughty face,lying on back,presenting armpit,open  legs,surime,hair ribbon,school swimsuit,white_thighhighs,flat_chest,wet"
魔导师分享,Shukshin,"1girl,business suit,heterochromia,black hair,ruins,solo,Perfect female body,side_ponytail,payot,short_hair,looking to the side,cinematiclighting,scarf,gloom (expression) depressed,"
魔导师分享,Karbyshev,"epaulettes,white_hair,bangs,asymmetrical bangs,one side up,sidelocks,ringed eyes,white_eyes,shaded face,long sleeves,standing,single hair bun,armband,cityscape,dress,white gloves,,ruins,"
魔导师分享,海滩雌小鬼 转载tg（野澤魚太）,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},foot focus,full body,beach,loli,twintails,blonde_hair/yellow_eyes,eye contact,evil smileevil grin,wariza,holding hands,m legs,naughty face,tsurime,school swimsuit,white stocking,no shoes,bridal gauntlets,hair ribbon,flat_chest,"
魔导师分享,Aphrodite‘sWedding6 icen,"{{realistic}},{{sketch}}, {{oil painting}},long hair,gradient hair,{{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, {an extremely delicate and beautiful},1girl,an adult lady,extremely detailed,pink hair,messy hair,handsome,{white business suit},{tie},{white trousers},dramatic angle,{magzine},depth of field,"
魔导师分享,Aphrodite‘sWedding5 icen,"{{realistic}},{{sketch}}, {{oil painting}},long hair,gradient hair,{{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, {an extremely delicate and beautiful},1girl,an adult lady,extremely detailed,pink hair,messy hair,handsome,{white business suit},{tie},{white trousers},dramatic angle,{magzine},depth of field,"
魔导师分享,Aphrodite‘sWedding4 icen,"{{realistic}},{{sketch}}, {{oil painting}},long hair,gradient hair,{{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, {an extremely delicate and beautiful},1girl,an adult lady,extremely detailed,pink hair,messy hair,handsome,{white business suit},{tie},{white trousers},dramatic angle,{magzine},depth of field,"
魔导师分享,Aphrodite‘sWedding3 icen,"{{realistic}},{{sketch}}, {{oil painting}},long hair,gradient hair,{{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, {an extremely delicate and beautiful},1girl,an adult lady,extremely detailed,pink hair,messy hair,handsome,{white business suit},{tie},{white trousers},dramatic angle,{magzine},depth of field,"
魔导师分享,Aphrodite‘sWedding1 icen,"{{realistic}},{{sketch}}, {{oil painting}},long hair,gradient hair,{{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, {an extremely delicate and beautiful},1girl,an adult lady,extremely detailed,pink hair,messy hair,handsome,{white business suit},{tie},{white trousers},dramatic angle,{magzine},depth of field,"
魔导师分享,樱雀 02 （by icen）,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, {an extremely delicate and beautiful},1girl,an adult lady,extremely detailed CG  8k wallpaper,office lady,pink hair,messy hair,expressionless,handsome,{black business suit},{tie},{black trousers},dramatic angle,{magzine},{white background},depth of field,multiple views"
魔导师分享,樱雀 01 （by icen）,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, {an extremely delicate and beautiful},1girl,an adult lady,extremely detailed CG  8k wallpaper,office lady,pink hair,messy hair,expressionless,handsome,{black business suit},{tie},{black trousers},dramatic angle,{magzine},{white background},depth of field, "
魔导师分享,夜慕轻阑 04 （by icen）,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, {an extremely delicate and beautiful},1girl,extremely detailed,adult lady,{small chest}, white hair, ponytail, long hair, messy hair,white trench coat, studio photography, masterpiece, cinematic highlight hair,oil painting, realistic, handsome,photorealistic,{black halter dress },{black backless dress},sitting on chair,{flower hairbin},{flower on hair},barefoot,crossed legs,handsome,expressionless"
魔导师分享,夜慕轻阑 03 （by icen）,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, {an extremely delicate and beautiful},1girl,extremely detailed,adult lady,{small chest}, white hair, ponytail, long hair, messy hair,white trench coat, studio photography, masterpiece, cinematic highlight hair,oil painting, realistic, handsome,photorealistic,{black halter dress },{black backless dress},sitting on chair,{flower hairbin},{flower on hair},barefoot,crossed legs,handsome,expressionless"
魔导师分享,夜慕轻阑 02 （by icen）,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, {an extremely delicate and beautiful},1girl,extremely detailed,adult lady,{small chest}, white hair, ponytail, long hair, messy hair,white trench coat, studio photography, masterpiece, cinematic highlight hair,oil painting, realistic, handsome,photorealistic,{black halter dress },{black backless dress},sitting on chair,{flower hairbin},{flower on hair},barefoot,crossed legs,handsome,expressionless"
魔导师分享,夜慕轻阑 (by icen),"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, {an extremely delicate and beautiful},1girl,extremely detailed,adult lady,{ small chest}, white hair, ponytail, long hair, messy hair,white trench coat, studio photography, masterpiece, cinematic highlight hair,beautiful hand,oil painting, realistic, handsome,photorealistic,{black halter dress },{black backless dress},sitting on chair,{flower hairbin},barefoot,crossed legs,handsome,expressionless"
魔导师分享,军队风金发少女,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, {an extremely delicate and beautiful},{photorealistic},Gorgeous,baroque oil painting character ln official illustration lotr concept art anime key visual portrait, young female nazi maid, long flowing blonde hair blue eyes, symmetrical perfect face fine detail delicate features quiet gaze, full black military uniform, gapmoe kuudere high fantasy bokeh, trending pixiv fanbox, "
魔导师分享,白色风衣军服少女,"space background, bokeh, 1girl, yellow hair, {{{blunt bangs}}}, long hair, hair over shoulder, straight hair, bluish eyes, white trench coat, blazer, suit, black [turtleneck], [military uniform], black gloves, [tight skirt] , white skirt, side slit, knee boots, black footwear, full body shot, "
魔导师分享,毛衣大狐狸,"{full body}, {{{white high heels}}},masterpiece,best quality,official a{full body}, {{{white high heels}}},masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper, night, full moon, stars, cityscape, solo, milf, grey hair, {wavy hair}, very long hair,messy hair,  blunt bangs,hair spread out,{grey eyes},expressionless, beautiful detailed eyes, fox ears, {white fur shawl},{sweater dress},{Lace garter straps garter belt,},sitting, choker, multiple tails,{mature female},
"
魔导师分享,百变过膝袜猫老大 by 山河,"1girl,loli,skin fang,no bra,no shoes,sideboob,collarbone,bare shoulders,bare arms,black choker,{{{oversized clothes}}},{(white_tank_top)_translucent_(tied_shirt)},bike shorts,thighhighs,mismatched legwear,asymmetrical legwear,right orange legwear,left orange and yellow striped legwear,nekomiya hinata,virtual youtuber,flat chest,very long hair,{spanish-pink_orange_bright_(Red _heating_light) hair},hair bobbles,eyes visible through hair,low twintails,hair between eye,sanimal ear fluff,cat ears,ahoge,blue eyes"
魔导师分享,传统炼铜CFG5-7(by安之若素J,"{{{masterpiece}}},{{best quality}},{{highly detailed}},{solo},1 girl,loli,{black long twintails with red hair ribbon},hair between eyes,ahoge,Bunny hair clip,sweet smile,beautiful detailed red eyes,{{white detached_sleeves with black puffy long sleeves}},white frilled collar, red bowties,white_thighhighs,black Lace-Up Boots,white background"
魔导师分享,青发少女 腐败（Corruption）,"(masterpiece),(best quality),(highres),(delicate),(beautiful),(cinematic highlight hair),(depth of field),beautiful detailed eyes,(wallpaper 8k CG),bloom effect,light particles,((caustic)),((cinematic lighting)),steampunk stylish,(profile),(head close-up),young girl,detailed cyan-blue color long hair,flower hair ornaments,aqua eyes,pleated skirt,((frills)),asymmetrical bangs"
魔导师分享,绿色连衣裙,"masterpiece, best quality, highly detailed, {{baroque}}, by François Boucher, cropped arms,
1girl, anime, beautiful detailed eyes, looking at viewer, sitting, brown eyes, black hair, braid,
18th century court fashion, {{{decorated green noble dress}}}, low collar, puff sleeves, white baroque patterns,
indoor, baroque architecture"
魔导师分享,拜占庭风格,"masterpiece, best quality, highly detailed, illustration, extremely detailed CG unity 8k wallpaper, highres,
1girl, beautiful detailed eyes, brown hair, purple eyes,
byzantine emperor,
byzantine architecture"
魔导师分享,洛可可风格,"masterpiece, best quality, highly detailed, rococo,
1girl, anime, beautiful detailed eyes, looking at viewer, standing, brown eyes, black hair, braid,
white and green highly decorate rococo dress,"
魔导师分享,戳我xp的不知道叫什么（by Caesar_YP）,"in summer, against backlight at dusk, girl, female, blonde hair , ponytail, light smile, light blush, cute face, arms up, Sukumizu"
魔导师分享,甘雨,"a girl, {{ kamisato_ayaka}} ,genshin impact, blue hair, blue eyes, long hair, ponytail ,armored dress ,armor, arm guards,holding fan,hand fan, white background	"
魔导师分享,男生,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},from side,portrait,sunburst background,comic,masterpiece,solo,mature male,wavy_hair,hair over one eye,black_hair/black_eyes,looking at viewer,hand in own hair,serious,open  mouth,eyes visible through hair,Cape hood,depthoffield,"
魔导师分享,繁花佳人,"{best quality}, {{masterpiece}}, {highres},extremely detailed 8K wallpaper, 1girl,game cg,maiden, cinematic angle,delicate skin, blush,aquagradient eyes, {detailed eyes},{long white hair},{light purple eyes}, Cherry blossoms,flying petals，Flowery meadow，detailed background, outdoors, full  body,cute anime face,blush,bishoujo,young girl,{delicate wedding dress}, neck ribbon, bridal gauntlets, bridal veil, hair ornament, hair flower, bouquet，wedding band,flower pattern in dress,flying butterfly,"
魔导师分享,盔甲,"masterpiece, best quality, official art, extremely detailed, 1girl, by jean-honore fragonard, medieval, {knight}, unexposed, white hair, evil, red eye, {full armor}, surcoat"
魔导师分享,玉腰奴05  (加高质量01) by icen,"cinematiclighting,{{watercolor pencil}},white hair,{messy hair},long hair,gradient hair,colored inner hair,{white background},{butterfly background},{halter dress},{backless dress},{butterfly dress},butterfly wings, butterfly hair ornament,butterfly print on dress,{{highly detailed butterflies}},{dark blue eyes},depth of field,dramatic angle,official art,"
魔导师分享,玉腰奴04  (加高质量01) by icen,"cinematiclighting,{{watercolor pencil}},white hair,{messy hair},long hair,gradient hair,colored inner hair,{white background},{butterfly background},{halter dress},{backless dress},{butterfly dress},butterfly wings, butterfly hair ornament,butterfly print on dress,{{highly detailed butterflies}},{dark blue eyes},depth of field,dramatic angle,official art,"
魔导师分享,玉腰奴03  (加高质量01) by icen,"cinematiclighting,{{watercolor pencil}},white hair,{messy hair},long hair,gradient hair,colored inner hair,{white background},{butterfly background},{halter dress},{backless dress},{butterfly dress},butterfly wings, butterfly hair ornament,butterfly print on dress,{{highly detailed butterflies}},{dark blue eyes},depth of field,dramatic angle,official art,"
魔导师分享,玉腰奴02  (加高质量01) by icen,"cinematiclighting,{{watercolor pencil}},white hair,{messy hair},long hair,gradient hair,colored inner hair,{white background},{butterfly background},{halter dress},{backless dress},{butterfly dress},butterfly wings, butterfly hair ornament,butterfly print on dress,{{highly detailed butterflies}},{dark blue eyes},depth of field,dramatic angle,official art,"
魔导师分享,玉腰奴01  (加高质量01) by icen,"cinematiclighting,{{watercolor pencil}},white hair,{messy hair},long hair,gradient hair,colored inner hair,{white background},{butterfly background},{halter dress},{backless dress},{butterfly dress},butterfly wings, butterfly hair ornament,butterfly print on dress,{{highly detailed butterflies}},{dark blue eyes},depth of field,dramatic angle,official art,"
魔导师分享,极度嫌弃你的妹妹！❤,"{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},little girl,pink hair,pink eyes,sister, twintails,contempt eyes,trample,foot focus,，frown，jitome，clenched teeth，from below,tread on ，loli,socks	,5 tones right foot,5 tones left foot,2 legs girl，white_thighhighs，"
魔导师分享,星空（龙）娘,"best quality outline white_hair/blue_eyes white dragon,{best quality}, {{masterpiece}}, {{ultra-detailed}},{detailed light}, (an extremely delicate and beautiful), solo,{knight},[illustration],Charming,{{handsome}}, upper body,   (beautiful detailed eyes), stars in the eyes,  , [Galaxy], depth of field,,"
魔导师分享,蒂法,"blush, upper body,Tifa,final fantasy,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},contour deepening,photorealistic,Precise geometry,intricate detail,"
魔导师分享,洛丽塔,"an extremely delicate and beautiful girl, dark cyan pupils, long white hair, choker, hair ornament hair clip,cold and elegant, close-up, half-body drawing, noble lolita with delicate texture, white atmosphere, high quality, masterpiece, {{1girl}},"
魔导师分享,小天使,"(((masterpiece))), (((best quality))),(extreme CG unity 8k wallpaper),anime, minigirl,cute,kawali,blue eyes,(beautiful detailed eyes),(white long hair):1.2,(white cat ears):1.2,flat_chest:1.1,hair_ornament,(white stockings):1.5, white flowers,choker,collar,(white cat tail):1.5,angel wings,ruins,flowers field,eyeball,(slit pupils):1.5,blush,thigh strap,(halo),ahoge,hair ribbons,primary school uniform,fingersmile,maid,gloves ,floating hair,dynamic angle,"
魔导师分享,白毛双马尾少女,"female focus,dutch angle,comic,loli,long hair,twintails,white_hair,red_eyes,looking at viewer,Isekai cityscape,classroom,spread fingers,slit pupils,hoodie,white pantyhose,barefoot"
魔导师分享,黑色头发的基佬,"1mature male,short_hair,black hair,blue_eyes,looking at viewer,light smile,crossed_legs,hand in own hair,shaded face,crazy eyes,black suit,leather shoes,chest,glasses, gayarou, "
魔导师分享,文艺美少女,"best quality, masterpiece, highres, original, 1girl, extremely detailed 8K wallpaper, an extremely delicate and beautiful, cinematic lighting, depth of field,Precise geometry,long hair,light smile,((looking at the envelope  on the table)) ,(school uniform),{profile},Sit in a chair in front of the table, The letter is on the table,upper body,"
魔导师分享,未来风格的御姐,"{masterpiece}, {best quality}, {{oil paintingl},{{wallpaper 8k CG}}, {realistic}, Concept Art, {{cyberpunkl},vary blue and red and orange and pink hard light, intricatelight, portrait of a robotic girl, in the Sci-fi City atnight, white and intricate clothes, dynamic hair, haircut,dynamic fuzziness, beautiful and aesthetic, intricate light,manga and anime"
魔导师分享,被囚禁虐待的猫娘,"sad,tears,from below,full body,drop shadow,game cg,petite,short_hair,black_hair/black_eyes,crying with eyes open,kneel,shaded face,scared,surprised,gloom (expression) depressed,tareme,torn clothes,barefoot,flat_chest,cat girl，Pull the chain with both hands，There are scars on the body，Chained by a tether，Bruising，collar,Very short cat tail，The tail ends have bows，bloodstained"
魔导师分享,泳装星野（水大叔）,"{loli},{solo},light pink hair,{heterochromia blue yellow},{blue eyes},{yellow eyes},big ahoge,long hair,low twintails,{pink halo},white skirt swimsuit,hime cut,hug a blue whale toy,;d,on the beach,standing,{{blue archive}}
"
魔导师分享,小鳥遊星野,"{{loli}},{solo},{light pink hair},{{heterochromia blue yellow}},{{blue eyes}},{{yellow eyes}},big ahoge,long messy hair,floating hair,pink halo,white shirt with cyan tie,black pleated_skirt,hime cut,{sleepy},classroom"
魔导师分享,厚涂军装白毛红瞳,"{{realistic}},{{sketch}}, {{oil painting}},{photorealistic},long hair,hair ornament,{{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, {an extremely delicate and beautiful},1girl,an adult lady,extremely detailed,white hair,messy hair,{light smile},{military uniform},{portrait},{red eyes},small chest,dramatic angle,{magzine},depth of field"
魔导师分享,中国风包子头少女,"{1girl},{lotus},chinese, double bun, chinese formal,detail ornaments,gold wires,gold,rich,{best quality}, {{masterpiece}}, {extremely detailed 4K CG}, original, extremely detailed wallpaper, {an extremely delicate and beautiful}"
魔导师分享,海边男高中生2,"1 male,high-school student,detailed background,beach background,fireworks,starry sky,night,intense angle,looking at viewer,blue hair,messy hair for men,blue eyes,endured face,open shirt,swim trunks for men,blush,sweat,wet,best quality,highly detailed,masterpiece"
魔导师分享,桃几OVO,"{{masterpiece}}, best quality, illustration,A GIRL,long_hair,cat_ears,hair between eyes,sidelocks,blue_eyES,crystal pink_hair,arms behind back,kneel,hair flower,depthoffield,cropped legs ,（GREEN beret）,smile,,White wedding dress，neck ribbon,pink hair bow,"
魔导师分享,海边男高中生,"1 male,high-school student,detailed background,beach background,fireworks,starry sky,night,intense angle,looking at viewer,blue hair,messy hair for men,blue eyes,endured face,open shirt,swim trunks for men,blush,sweat,wet,best quality,highly detailed,masterpiece"
魔导师分享,白风衣军服少女,"space background, bokeh, 1girl, yellow hair, {{{blunt bangs}}}, long hair, hair over shoulder, straight hair, bluish eyes, white trench coat, blazer, suit, black [turtleneck], [military uniform], black gloves, [tight skirt] , white skirt, side slit, knee boots, black footwear, full body shot, "
魔导师分享,杂志,"1girl, red eye, green heterochromia, magazine cover"
魔导师分享,猫娘女仆,"masterpiece, best quality, {best quality},{masterpiece},4k CG,1girl,{{loli}}, {{cute}},long pink hair,white thighhighs ,cat ears,cat tail,maid dress,kneeling,sitting on floor,looking at viewer"
魔导师分享,可爱蓝毛猫娘,"{{masterpiece}},highres,loli,catgirl,:3,lightblue hair,neckbell,decorated maid dress,lace maid headdress,cute miniskirt,paw pose,{smiling eye},smile,dynamic angle,cat tail,indoors"
魔导师分享,绿发女忍者,"green hair,skin tight,japanese clothes,fishnets,straw sandals,mouth mask,scarf,{{{ninja}}},best quality,highly detailed,masterpiece,ultra-detailed,illustration,skin tight,green eyes"
魔导师分享,华丽的冰雪美少女,"((best quality)), ((masterpiece)), ((ultra-detailed)), extremely detailed CG, (illustration), ((detailed light)), (an extremely delicate and beautiful), a girl, solo, ((upper body,)), ((cute face)), expressionless, (beautiful detailed eyes), blue dragon eyes, (Vertical pupil:1.2), white hair, shiny hair, colored inner hair, (Dragonwings:1.4), [Armor_dress], blue wings, blue_hair ornament, ice adorns hair, [dragon horn], depth of field, [ice crystal], (snowflake), [loli], [[[[[Jokul]]]]]"
魔导师分享,白发可爱少女,"/ai_sfw_p extremely detailed Cg unity 16k wallpaper,loli,cute,red eyes,kawaii,jk,loli,white stocking,white gloves,{Furisode},white on hair,light blue hair,blue ribbon，blue foot wear,blue bow，hair between eyes,hair flower,hair ornamen,detailed eyes,hair ring,{masterpiece},lovely,floating_hair,paraselenic circle，falling petals，ahoge,smile，rainy,looking at viewer,sitting,higher angle,wet clothes"
魔导师分享,粉毛,"1 male,high-school student,detailed background,beach background,fireworks,starry sky,night,intense angle,looking at viewer,blue hair,messy hair for men,blue eyes,endured face,open shirt,swim trunks for men,blush,sweat,wet,best quality,highly detailed,masterpiece,pink_hair,pink_eyes,colored tips,medium hair,crop top,underpants,no shoes,chest,"
魔导师分享,国风龙娘（负面通用）,"1girl (guard) (arknights）(latex bodysuit）(chinese armor)(pleated_skirt)(medal)，YEllow_eyes,silver_hair,city,chinese armor,valley,wall,night（lightning）,rain,wet,pointy_ears,horns,FOG,lightning,bloodstain，ocean"
魔导师分享,.,"{best quality},{{masterpiece}},{highres}, {{18-year-old},{an extremely delicate and beautiful girl}, original, extremely detailed wallpaper,1girl,{solo},pillarboxed,long_hair,red_eyes,solo,black_hair,hair _ornamen,{smile},tassel,bangs,from_side,blunt_bangs,braid,long_hair,full_body,looking_at_viewer,animal_ears,closed_mouth,holding,white over-the-knee socks,{{{black_dress}}},sitting"
魔导师分享,军装猫耳少女,"long hair,hair ornament,{{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, loli,((white cat ears)){an extremely delicate and beautiful},1girl,extremely detailed,blue hair,messy hair,{light smile},{military uniform},{portrait},{red eyes},small chest,dramatic angle,{magzine},depth of field,"
魔导师分享,猫娘，写实，Q版,"lolita_fashion, hands_on_hips,  chibi, kemonomimi_mode, realistic"
魔导师分享,吸血鬼帅哥,"((1 male)),(((masterpiece))), best quality, highly detailed,extremely detailed CG unity 8k wallpaper,illustration, red eyes, short silver hair, pointy ears, vampire, wet, partially submerged,  necklace, hair flower, ocean, snow, ice, full body shot, high close up, highly detailed, center frame, sharp focus, looking at viewer,comic"
魔导师分享,希儿（还不太像）,"seele_vollerei ,1girl, ahoge,bangs,black_hair,blue_butterfly	,blush,butterfly,holding,looking_at_viewer,multicolored_hair,necktie,red_eyes,red_hair,red_nails,short_hair,,solo,two-tone_hair,full body, china dress,hair_ornament,rating:safe"
魔导师分享,棕发金色瞳少女,"sunset,solo focu,cloudy sky,{french braid},best quality,Amazing,fleeing,{wind},beautiful detailed eyes,{an extremely delicate and beautiful girl},finely detail,Depth of field,brown streaked hair,gold eyes,cold faces,confused,the sea,{{{beautiful black bikini}}},hair ornament"
魔导师分享,白色,"short_hair,white_hair,red_eyes,upper body,shaded face,flat_chest,coat,hand to own mouth,standing"
魔导师分享,括号笑叔,"masterpiece, best quality,illustration,Amazing,finely detail,(((1girl))),solo,loli,orange hair,pointy_ears,short hair,(orange beret),(orange beret),orange robe,yellow eyes,beautiful detailed eyes,black boots,garden,sunny day,breeze"
魔导师分享,图书馆捧着花的美少女,"masterpiece, best quality, best quality, an extremely delicate and beautiful, highres, Amazing, finely detail,Depth of field, extremely detailed CG unity 8k wallpaper, 1girl, indoor, library, beauty, beautiful detailed eyes, long black hair, twintails, smiling, berets, yellow knitted sweater vest, long skirt, blouse, holding flowers, vase on desk, sitting on desk, front, upper legs, Tyndall effect, smooth lights"
魔导师分享,猫娘少女,"masterpiece, best quality, solo, loli, kawaii, adorable girl, bishoujo, kemonomimi_mode, light smile, light blush, animal_ears, head tilt"
魔导师分享,下蹲散发腋来香的全身黑厮,"1girl,solo,full body,{an extremely delicate and beautiful girl},{extremely detailed},an extremely delicate and beautiful,beautiful detailed eyes,{{{{bare shoulders}}}},black ribbon,{light_leaks},{dynamic angle},{{{wet clothes}}},{{{{bodystocking,}}}},best quality,highly detailed,masterpiece,ultra-detailed,illustration,{{{{{{squatting,armpit,saliva}}}}}}"
魔导师分享,湿漉漉的白发红瞳吸血鬼帅哥,"((1 male)),(((masterpiece))), best quality, highly detailed,extremely detailed CG unity 8k wallpaper,illustration, red eyes, short silver hair, pointy ears, vampire, wet, partially submerged,  necklace, hair flower, ocean, snow, ice, full body shot, high close up, highly detailed, center frame, sharp focus, looking at viewer,comic,"
魔导师分享,超人by与世俱进的人，自加通用tag,"{{{masterpiece}}}},illustrationfrills， best quality，extremely detailed 8k wallpaper,highres，superman，Delicate muscle lines,red，black hair，mature，handsome，Clark Kent，superhero，{{{flying}}}，make a fist，sharp， fight ，  red underpants,a piece of cloak，blue cloth,strong，blue eyes，clear face，dove ，buildings"
